file_path,duration,pitch_min,pitch_max,pitch_mean,pitch_std,velocity_min,velocity_max,velocity_mean,velocity_std,tempo_mean,tempo_std,chord_changes,harmony_complexity,rhythm_mean,rhythm_std,syncopation,note_overlap_ratio,total_notes,tempo_variation,dynamic_range,dynamic_contrast,emotion
../EMOPIA_1.0/midis\Q1_0vLPYiPN7qY_0.mid,19.989583333333332,36.0,91.0,65.43786982248521,12.641061494155867,30.0,101.0,63.74556213017752,13.514414651853572,120.0,0.0,95.0,95.0,0.8697069156804734,0.7020069552973905,0.8071764667389455,0.9467455621301775,169.0,0.0,71.0,13.514414651853572,happy
../EMOPIA_1.0/midis\Q1_0vLPYiPN7qY_1.mid,39.98958333333333,36.0,79.0,64.15439429928742,7.355086848084484,22.0,84.0,50.83847980997625,9.819634292656541,120.0,0.0,247.0,247.0,0.579999257719715,0.4187959185038356,0.7220628525463028,0.9809976247030879,421.0,0.0,62.0,9.819634292656541,happy
../EMOPIA_1.0/midis\Q1_0vLPYiPN7qY_2.mid,39.98958333333333,29.0,86.0,65.04857142857144,11.739089072193718,29.0,93.0,61.637142857142855,13.747614561168385,120.0,0.0,181.0,181.0,0.7728162202380952,0.5327833942384108,0.6894050361342918,0.9742857142857143,350.0,0.0,64.0,13.747614561168385,happy
../EMOPIA_1.0/midis\Q1_1Qc15G0ZHIg_1.mid,38.58984375,33.0,81.0,59.31228070175439,12.38805409546163,26.0,94.0,67.2280701754386,10.650455132124222,120.0,0.0,157.0,157.0,0.6965734649122806,0.7896732224598102,1.133653896160477,0.8771929824561403,285.0,0.0,68.0,10.650455132124222,sad
../EMOPIA_1.0/midis\Q1_1Qc15G0ZHIg_2.mid,39.98958333333333,28.0,76.0,57.07183908045977,12.122365103322158,41.0,93.0,73.57183908045977,10.439921723044685,120.0,0.0,199.0,199.0,0.5661106621168581,0.4197938518991795,0.7415402676385637,0.8477011494252874,348.0,0.0,52.0,10.439921723044685,sad
../EMOPIA_1.0/midis\Q1_1Qc15G0ZHIg_3.mid,29.989583333333332,33.0,83.0,58.01831501831502,12.84236755769138,36.0,102.0,79.26007326007326,10.100689926483732,120.0,0.0,155.0,155.0,0.5992683531746033,0.5651270112044123,0.9430282914334983,0.9010989010989011,273.0,0.0,66.0,10.100689926483732,sad
../EMOPIA_1.0/midis\Q1_1vjy9oMFa8c_2.mid,29.989583333333332,27.0,79.0,53.134078212290504,11.401945860321565,35.0,98.0,69.21787709497207,14.911377455358688,120.0,0.0,76.0,76.0,0.9089196345437619,0.8660497191464298,0.9528342069331015,0.88268156424581,179.0,0.0,63.0,14.911377455358688,sad
../EMOPIA_1.0/midis\Q1_1vjy9oMFa8c_4.mid,19.989583333333332,27.0,82.0,54.37692307692308,11.779555551636184,48.0,102.0,79.88461538461539,10.134962043407057,120.0,0.0,64.0,64.0,0.9192608173076923,0.678879549604297,0.7385059134714151,0.9230769230769231,130.0,0.0,54.0,10.134962043407057,sad
../EMOPIA_1.0/midis\Q1_1vjy9oMFa8c_5.mid,59.98958333333333,24.0,91.0,56.08390022675737,16.131819213512085,31.0,101.0,78.26984126984127,12.633046044234822,120.0,0.0,249.0,249.0,0.7753743858654575,0.6820589379301343,0.8796511083724202,0.8253968253968254,441.0,0.0,70.0,12.633046044234822,sad
../EMOPIA_1.0/midis\Q1_2Z9SjI131jA_0.mid,39.98958333333333,45.0,79.0,64.30103806228374,8.665408639002791,38.0,80.0,61.79584775086505,8.543589639917036,120.0,0.0,206.0,206.0,0.5243431012110727,0.4213938436702691,0.803660509115077,0.889273356401384,289.0,0.0,42.0,8.543589639917036,happy
